	1	2	3	4	5	6	7	8	9
60	2.113581667	3.557076667	4.676863333	3.141375	5.71028	4.89906	6.402908333	10.24770417	7.4239375
61	3.012081667	4.485376667	4.921613333	3.597975	6.14528	5.46926	7.132908333	9.562504167	7.9559375
62	2.454681667	0.361376667	4.220863333	3.125175	5.67128	4.69766	7.517908333	8.874804167	7.3869375
63	2.706681667	2.773634667	5.166363333	3.573075	8.60628	5.21266	8.350608333	11.16520417	11.5922375
64	1.880581667	2.399076667	3.813263333	3.924175	5.98728	5.20136	7.709908333	9.809304167	8.0549375
65	1.915581667	3.540276667	5.916263333	3.133275	7.81548	5.17316	8.740658333	9.898904167	10.8861375
66	2.832681667	3.295476667	5.639163333	3.214675	6.31328	4.85696	8.119908333	9.632604167	9.8789375
67	2.293581667	3.018376667	6.128263333	3.589875	7.26238	4.5214	8.210008333	9.076804167	11.7153375
68	2.365581667	3.279376667	6.307263333	4.193175	7.53892	4.59816	8.619608333	9.667504167	9.7989375
69	2.841581667	3.116576667	4.497563333	3.345475	8.51778	5.47526	7.382908333	10.46950317	9.3059375
70	1.871581667	2.937076667	5.182163333	2.073675	7.17308	5.73326	7.997708333	9.276804167	9.7899375
71	2.644381667	3.458876667	6.014263333	3.100675	7.33178	6.06626	7.921008333	11.15950417	8.7139375
72	2.230581667	3.450876667	5.402463333	3.263775	6.46228	6.42426	7.298908333	10.49220417	8.7759375
73	2.859781667	3.564476667	6.120263333	3.410375	6.30428	4.89346	7.491908333	9.492904167	9.9519375
74	2.733781667	3.377576667	4.807963333	3.263775	8.03318	3.78836	7.372908333	9.792304167	11.4981375
75	3.093281667	3.654576667	4.432663333	4.046575	8.94228	5.19706	7.327908333	9.601304167	10.5862375
76	1.817581667	3.621676667	6.372263333	3.377775	7.01518	6.39826	6.997908333	10.75600417	10.8669375
77	2.922381667	2.758166667	4.970703333	4.820675	5.67128	6.21726	7.517908333	9.681504167	9.6849375
78	1.825581667	4.143376667	5.997263333	3.964475	6.11528	4.14016	8.081608333	9.910304167	9.7189375
79	2.437581667	3.524176667	4.856383333	3.361275	8.13198	6.16326	7.235908333	10.07780417	11.1141075
80	2.149581667	3.359376667	5.280063333	2.840075	7.49964	4.92136	8.235608333	10.68770417	10.0784375
